id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_assets_adj;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;total_equity_adj;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_465;0;GmbH;67433;35200;1990;;GKV;117468927.6;117468927.6;50576676.93;3208715.63;-1093654.91;67.33;1093722.24;2115060.72;2115060.72;1140046.36;68100747.02;68043747.02;27183611.19;9892000.0;10690000.0;16680849.64;9892000.0;10690000.0;7107388.04;;;;;;19926135.83;20278135.83;20171654.75;3990540.62;1821075.27;240372.12;;2266000.93;-9473938.3;4493000.0
C_780;0;GmbH;77871;22230;2002;;GKV;12496060.88;12751467.88;6626259.32;375255.0;-235107.66;10206.57;245314.23;140147.34;140147.34;97984.36;6766689.96;6804816.96;2668755.95;4017230.01;150831.0;853809.27;;;1104624.78;;;;;;1.46e-11;-32000.0;2220012.95;2224101.36;290143.78;1429233.59;;747534.97;-21097.79;-858161.15
C_305;0;GmbH;71665;25504;1933;86.0;GKV;3957303.37;3267303.37;1000700.71;341245.83;3465.31;3494.94;29.63;344711.14;344211.14;230704.37;4176568.22;4176568.22;3397507.35;0.0;0.0;;;;545022.69;;;;;;779060.87;779060.87;4123500.76;1747430.53;1125412.41;;;205589.12;-39044.45;-179999.97
C_434;0;GmbH;66538;21200;1968;;GKV;3204044.8;3204044.8;3075546.57;-253241.11;-750.61;65.79;816.4;-253991.72;-253991.72;-265630.9;2420734.35;2420734.35;350971.13;0.0;0.0;;;;28257.47;;;;;;2069763.22;2069763.22;2324469.54;2344802.39;1292081.33;14415.36;;-315561.86;-20387.54;1.38
C_537;0;GmbH;66131;84120;1952;8.0;GKV;11900732.06;11900732.06;12541052.39;11411900.85;-1420719.58;11942.18;1483440.0;9991181.27;9991181.27;7212492.85;66145985.19;66145985.19;759060.77;0.0;19561218.0;12.55;;;3851.17;;;;;;45825706.42;45825706.42;65384226.11;65384226.11;;488792.0;;7897622.69;-1.1599999999999999e-10;-7897621.19
C_186;0;GmbH;66578;43220;2000;;GKV;550623.68;550623.68;325873.56;-274.77;-870.97;;870.97;-1145.74;-1145.74;-1145.74;353269.35;353269.35;321230.95;0.0;0.0;;;;132717.75;;;;;;32038.4;32038.4;239146.35;221232.86;34497.65;;;72675.32;-128244.58;83509.99
C_555;0;GmbH & Co. KG;66780;47521;2002;;GKV;55139000.0;54439000.0;26614000.0;-710000.0;1411000.0;61000.0;118000.0;701000.0;701000.0;698000.0;43083000.0;33530000.0;16053000.0;0.0;628000.0;;;;5471000.0;;;;;;26402000.0;16849000.0;42400000.0;17138000.0;3000.0;14830000.0;;-7599075.27;14378472.47;-6781322.97
C_359;0;GmbH;66121;29320;1994;94.0;GKV;1628.0;1628.0;463767.5;102519.04;64023.24;109339.17;28164.6;166542.28;166542.28;12.58;9318605.83;9318605.83;8141000.77;0.0;103390.0;;;;;;;;;;1074215.06;1074215.06;9162000.1;82405.55;82405.55;;;5736.46;16142.93;0.0
C_782;0;GmbH;66115;35000;2008;338.0;GKV;615952.5;615952.5;761596.41;-10012408.73;1363539.18;776892.99;682493.82;-8648869.55;-8648869.55;-8648885.26;31484574.75;31484574.75;2753515.21;3075000.0;7064715.8;;;;59513.62;;;;3075000.0;;18591343.74;18591343.74;17839270.05;4581944.01;1267454.22;;;9989363.85;-9814901.99;3.73e-09
C_390;0;GmbH;76726;41200;1977;;GKV;2784924.86;2784924.86;2784924.86;380854.78;-25250.0;;25250.0;355604.78;355604.78;230357.58;3214600.52;3214600.52;2331945.31;0.0;0.0;;;;;;;;;;882655.21;882655.21;628557.52;676516.52;361287.77;;;703606.63;-483194.4;-85222.82
